chunk_id,document_id,manufacturer,product,source_file,section_number,page_start,page_end,chunk_index,chunk_count_for_section,token_estimate,content_types,table_count,image_count,content_chars
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec01__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,1,1,1,1,1,342,"image,ocr,table,text",1,2,3948
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec02__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,2,1,2,1,3,418,"image,ocr,table,text",3,5,2738
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec02__chunk02,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,2,1,2,2,3,810,"image,ocr,table,text",3,5,6369
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec02__chunk03,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,2,1,2,3,3,351,"image,ocr,table,text",3,5,5444
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec03__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,3,2,2,1,1,524,"image,ocr,table,text",2,1,5593
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec04__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,4,2,3,1,3,382,"image,ocr,table,text",3,2,2479
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec04__chunk02,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,4,2,3,2,3,818,"image,ocr,table,text",3,2,6324
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec04__chunk03,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,4,2,3,3,3,182,"image,ocr,table,text",3,2,2325
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec05__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,5,3,3,1,1,551,"table,text",1,0,4583
pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf__sec06__chunk01,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,Pintuco,PINTURA EPOXI POLIAMIDA BLANCO 13243,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,6,3,3,1,1,642,"table,text",2,0,5201
