chunk_id,document_id,manufacturer,product,source_file,section_number,page_start,page_end,chunk_index,chunk_count_for_section,token_estimate,content_types,table_count,image_count,content_chars
sika__fds-20-esmalte-alquidico-serie-31__sec01__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,1,1,1,1,1,162,"image,ocr,text",0,1,1354
sika__fds-20-esmalte-alquidico-serie-31__sec02__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,2,1,3,1,1,598,"image,ocr,text",0,1,4259
sika__fds-20-esmalte-alquidico-serie-31__sec03__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,3,3,3,1,1,131,"table,text",1,0,1000
sika__fds-20-esmalte-alquidico-serie-31__sec04__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,4,3,4,1,1,309,text,0,0,2065
sika__fds-20-esmalte-alquidico-serie-31__sec05__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,5,4,4,1,1,227,text,0,0,1494
sika__fds-20-esmalte-alquidico-serie-31__sec06__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,6,4,5,1,1,278,text,0,0,1811
sika__fds-20-esmalte-alquidico-serie-31__sec07__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,7,5,5,1,1,267,text,0,0,1795
sika__fds-20-esmalte-alquidico-serie-31__sec08__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,8,5,7,1,1,588,text,0,0,3879
sika__fds-20-esmalte-alquidico-serie-31__sec09__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,9,7,7,1,1,169,text,0,0,1222
sika__fds-20-esmalte-alquidico-serie-31__sec10__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,10,7,8,1,1,94,text,0,0,677
sika__fds-20-esmalte-alquidico-serie-31__sec11__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,11,8,8,1,1,23,text,0,0,189
sika__fds-20-esmalte-alquidico-serie-31__sec12__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,12,8,8,1,1,72,text,0,0,558
sika__fds-20-esmalte-alquidico-serie-31__sec13__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,13,8,9,1,1,151,text,0,0,1026
sika__fds-20-esmalte-alquidico-serie-31__sec14__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,14,9,9,1,1,291,"image,ocr,table,text",1,3,3146
sika__fds-20-esmalte-alquidico-serie-31__sec15__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,15,9,9,1,1,128,text,0,0,934
sika__fds-20-esmalte-alquidico-serie-31__sec16__chunk01,sika__fds-20-esmalte-alquidico-serie-31,SIKA,Esmalte Alquídico Serie 31,FDS 20 - Esmalte Alquídico Serie 31.pdf,16,9,10,1,1,167,"image,ocr,text",0,1,1371
sika__fds-22-esmalte-uretano-ar-comp-b__sec01__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,1,1,1,1,1,163,"image,ocr,text",0,1,1349
sika__fds-22-esmalte-uretano-ar-comp-b__sec02__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,2,1,2,1,1,301,"image,ocr,text",0,1,2252
sika__fds-22-esmalte-uretano-ar-comp-b__sec03__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,3,2,2,1,1,136,"table,text",1,0,1116
sika__fds-22-esmalte-uretano-ar-comp-b__sec04__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,4,2,3,1,1,201,text,0,0,1355
sika__fds-22-esmalte-uretano-ar-comp-b__sec05__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,5,3,3,1,1,138,text,0,0,890
sika__fds-22-esmalte-uretano-ar-comp-b__sec06__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,6,3,4,1,1,229,text,0,0,1485
sika__fds-22-esmalte-uretano-ar-comp-b__sec07__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,7,4,4,1,1,275,text,0,0,1823
sika__fds-22-esmalte-uretano-ar-comp-b__sec08__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,8,4,5,1,1,346,"table,text",1,0,2487
sika__fds-22-esmalte-uretano-ar-comp-b__sec09__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,9,5,6,1,1,169,text,0,0,1258
sika__fds-22-esmalte-uretano-ar-comp-b__sec10__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,10,6,6,1,1,104,text,0,0,766
sika__fds-22-esmalte-uretano-ar-comp-b__sec11__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,11,6,6,1,1,95,text,0,0,689
sika__fds-22-esmalte-uretano-ar-comp-b__sec12__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,12,6,7,1,1,51,text,0,0,393
sika__fds-22-esmalte-uretano-ar-comp-b__sec13__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,13,7,7,1,1,159,text,0,0,1081
sika__fds-22-esmalte-uretano-ar-comp-b__sec14__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,14,7,8,1,1,318,"image,ocr,table,text",1,3,3387
sika__fds-22-esmalte-uretano-ar-comp-b__sec15__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,15,8,8,1,1,178,text,0,0,1222
sika__fds-22-esmalte-uretano-ar-comp-b__sec16__chunk01,sika__fds-22-esmalte-uretano-ar-comp-b,SIKA,Esmalte Uretano AR Comp. B,FDS 22 - Esmalte Uretano AR Comp. B.pdf,16,8,8,1,1,168,"image,ocr,text",0,1,1365
sika__fds-26-esmalte-epoxico-aluminio-333441__sec01__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,1,1,1,1,1,161,"image,ocr,text",0,1,1378
sika__fds-26-esmalte-epoxico-aluminio-333441__sec02__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,2,1,2,1,1,447,"image,ocr,text",0,2,3600
sika__fds-26-esmalte-epoxico-aluminio-333441__sec03__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,3,2,2,1,1,166,"table,text",1,0,1330
sika__fds-26-esmalte-epoxico-aluminio-333441__sec04__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,4,2,3,1,1,196,text,0,0,1309
sika__fds-26-esmalte-epoxico-aluminio-333441__sec05__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,5,3,3,1,1,98,text,0,0,688
sika__fds-26-esmalte-epoxico-aluminio-333441__sec06__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,6,3,4,1,1,317,text,0,0,2114
sika__fds-26-esmalte-epoxico-aluminio-333441__sec07__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,7,4,5,1,1,338,text,0,0,2299
sika__fds-26-esmalte-epoxico-aluminio-333441__sec08__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,8,5,6,1,1,745,"table,text",1,0,5086
sika__fds-26-esmalte-epoxico-aluminio-333441__sec09__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,9,6,7,1,1,185,text,0,0,1369
sika__fds-26-esmalte-epoxico-aluminio-333441__sec10__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,10,7,7,1,1,121,text,0,0,878
sika__fds-26-esmalte-epoxico-aluminio-333441__sec11__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,11,7,7,1,1,73,"table,text",1,0,751
sika__fds-26-esmalte-epoxico-aluminio-333441__sec12__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,12,7,8,1,1,123,"table,text",1,0,1071
sika__fds-26-esmalte-epoxico-aluminio-333441__sec13__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,13,8,8,1,1,139,text,0,0,948
sika__fds-26-esmalte-epoxico-aluminio-333441__sec14__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,14,8,9,1,1,294,"image,ocr,table,text",1,3,3242
sika__fds-26-esmalte-epoxico-aluminio-333441__sec15__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,15,9,9,1,1,177,text,0,0,1231
sika__fds-26-esmalte-epoxico-aluminio-333441__sec16__chunk01,sika__fds-26-esmalte-epoxico-aluminio-333441,SIKA,Esmalte Epóxico Aluminio,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,16,9,9,1,1,167,"image,ocr,text",0,1,1395
sika__fds-27-epoxi-100hs-s300-ca__sec01__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,1,1,1,1,1,171,"image,ocr,text",0,1,1375
sika__fds-27-epoxi-100hs-s300-ca__sec02__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,2,1,2,1,1,336,"image,ocr,text",0,1,2470
sika__fds-27-epoxi-100hs-s300-ca__sec03__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,3,2,3,1,1,167,"table,text",1,0,1311
sika__fds-27-epoxi-100hs-s300-ca__sec04__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,4,3,3,1,1,192,text,0,0,1266
sika__fds-27-epoxi-100hs-s300-ca__sec05__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,5,3,4,1,1,131,text,0,0,887
sika__fds-27-epoxi-100hs-s300-ca__sec06__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,6,4,4,1,1,97,text,0,0,708
sika__fds-27-epoxi-100hs-s300-ca__sec07__chunk01,sika__fds-27-epoxi-100hs-s300-ca,SIKA,Sika® Epoxi 100HS Serie 300 Comp. A,FDS 27 - Epoxi_100HS_S300_CA.pdf,7,4,4,1,1,155,text,0,0,1068
