status,manufacturer,document_id,source_file,product,page_count,section_count,table_count,image_count,warnings,extraction_errors,markdown_path,metadata_path,canonical_document_id
converted,Pintuco,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,PINTURA EPOXI POLIAMIDA BLANCO 13243,13,16,56,38,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.json,pintuco__fds-10-pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf
converted,Pintuco,pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1,FDS 12 - PINTURA ANTICORROSIVA GRIS 507 _ 10014333-10012454-10171712 _COL (Versión 3) (1).pdf,PINTURA ANTICORROSIVA GRIS 507,10,16,48,30,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1.json,pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1
converted,Pintuco,pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687,FDS 21 - Pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.pdf,PINTURA PARA TRAFICO ACRILICO BASE SOLVENTE BLANCO 13722,12,16,52,37,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.json,pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687
duplicate_skipped,Pintuco,pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687,FDS 21 -pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.pdf,PINTURA PARA TRAFICO ACRILICO BASE SOLVENTE BLANCO 13722,12,16,52,37,duplicate_of: pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687,,,,pintuco__fds-21-pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687
converted,Pintuco,pintuco__fds-30-esmalte-top-quality-gris-plata-1799-pintuco,FDS 30 - ESMALTE TOP QUALITY GRIS PLATA 1799 -PINTUCO .pdf,ESMALTE TOP QUALITY GRIS PLATA 1799,11,16,47,37,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-30-esmalte-top-quality-gris-plata-1799-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-30-esmalte-top-quality-gris-plata-1799-pintuco.json,pintuco__fds-30-esmalte-top-quality-gris-plata-1799-pintuco
converted,Pintuco,pintuco__fds-32-pintulaca-blanco-7519-pintuco,FDS 32 - PINTULACA BLANCO 7519 - PINTUCO.pdf,PINTULACA BLANCO 7519,14,16,57,39,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-32-pintulaca-blanco-7519-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-32-pintulaca-blanco-7519-pintuco.json,pintuco__fds-32-pintulaca-blanco-7519-pintuco
converted,Pintuco,pintuco__fds-33-esmalte-top-quality-azul-medio-1795-pintuco,FDS 33 - ESMALTE TOP QUALITY AZUL MEDIO 1795 - PINTUCO .pdf,ESMALTE TOP QUALITY AZUL MEDIO 1795,11,16,35,37,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-33-esmalte-top-quality-azul-medio-1795-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-33-esmalte-top-quality-azul-medio-1795-pintuco.json,pintuco__fds-33-esmalte-top-quality-azul-medio-1795-pintuco
converted,Pintuco,pintuco__fds-34-pintulaca-rojo-claro-7587-pintuco,FDS 34 - PINTULACA ROJO CLARO 7587 - PINTUCO .pdf,PINTULACA ROJO CLARO 7587,15,16,61,44,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-34-pintulaca-rojo-claro-7587-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-34-pintulaca-rojo-claro-7587-pintuco.json,pintuco__fds-34-pintulaca-rojo-claro-7587-pintuco
converted,Pintuco,pintuco__fds-35-esmalte-top-quality-negro-1772-pintuco,FDS 35- ESMALTE TOP QUALITY NEGRO 1772 - PINTUCO .pdf,ESMALTE TOP QUALITY NEGRO 1772,11,16,38,37,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-35-esmalte-top-quality-negro-1772-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-35-esmalte-top-quality-negro-1772-pintuco.json,pintuco__fds-35-esmalte-top-quality-negro-1772-pintuco
converted,Pintuco,pintuco__fds-37-esmalte-pintulux-aluminio-pintuco,FDS 37 - ESMALTE PINTULUX ALUMINIO - PINTUCO .pdf,ESMALTE PINTULUX ALUMINIO,11,16,49,38,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-37-esmalte-pintulux-aluminio-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-37-esmalte-pintulux-aluminio-pintuco.json,pintuco__fds-37-esmalte-pintulux-aluminio-pintuco
converted,Pintuco,pintuco__fds-38-esmalte-top-quality-rojo-bermellon-9409-pintuco,FDS 38 - ESMALTE TOP QUALITY ROJO BERMELLON 9409 - PINTUCO .pdf,ESMALTE TOP QUALITY ROJO BERMELLON 9409,11,16,49,37,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-38-esmalte-top-quality-rojo-bermellon-9409-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-38-esmalte-top-quality-rojo-bermellon-9409-pintuco.json,pintuco__fds-38-esmalte-top-quality-rojo-bermellon-9409-pintuco
converted,Pintuco,pintuco__fds-41-pintura-acrilica-construccion-alta-asepsia-blanco-27580-pintuco,FDS 41 - PINTURA ACRILICA CONSTRUCCION ALTA ASEPSIA BLANCO 27580 - PINTUCO .pdf,PINTURA ACRILICA CONSTRUCCION ALTA ASEPSIA BLANCO 27580,8,16,40,23,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-41-pintura-acrilica-construccion-alta-asepsia-blanco-27580-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-41-pintura-acrilica-construccion-alta-asepsia-blanco-27580-pintuco.json,pintuco__fds-41-pintura-acrilica-construccion-alta-asepsia-blanco-27580-pintuco
converted,Pintuco,pintuco__fds-45-viniltex-pro-650-blanco-pintuco,FDS 45 - VINILTEX PRO 650 BLANCO - PINTUCO .pdf,VINILTEX PRO 650 BLANCO,10,16,47,29,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-45-viniltex-pro-650-blanco-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-45-viniltex-pro-650-blanco-pintuco.json,pintuco__fds-45-viniltex-pro-650-blanco-pintuco
converted,Pintuco,pintuco__fds-46-esgrafiado-blanco-30401-pintuco,FDS 46 - ESGRAFIADO BLANCO 30401 - PINTUCO .pdf,ESGRAFIADO BLANCO 30401,9,16,42,25,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-46-esgrafiado-blanco-30401-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-46-esgrafiado-blanco-30401-pintuco.json,pintuco__fds-46-esgrafiado-blanco-30401-pintuco
converted,Pintuco,pintuco__fds-50-pintura-epoxica-base-solvente-blanco-13580-pintuco,FDS 50 - PINTURA EPOXICA BASE SOLVENTE BLANCO 13580 - PINTUCO .pdf,PINTURA EPOXICA BASE SOLVENTE BLANCO 13580,14,16,61,40,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-50-pintura-epoxica-base-solvente-blanco-13580-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-50-pintura-epoxica-base-solvente-blanco-13580-pintuco.json,pintuco__fds-50-pintura-epoxica-base-solvente-blanco-13580-pintuco
converted,Pintuco,pintuco__fds-57-acrolatex-50-3508-pintuco,FDS 57 - ACROLATEX 50 3508 - PINTUCO.pdf,ACROLATEX 50 3508,10,16,46,28,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-57-acrolatex-50-3508-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-57-acrolatex-50-3508-pintuco.json,pintuco__fds-57-acrolatex-50-3508-pintuco
duplicate_skipped,Pintuco,pintuco__fds-6-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3,FDS 6 - PINTURA ANTICORROSIVA GRIS 507 _ 10014333-10012454-10171712 _COL (Versión 3).pdf,PINTURA ANTICORROSIVA GRIS 507,10,16,48,30,duplicate_of: pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1,,,,pintuco__fds-12-pintura-anticorrosiva-gris-507-10014333-10012454-10171712-col-version-3-1
converted,Pintuco,pintuco__fds-62-asepsia-ultra-acril-uretano-blanco-pintuco,FDS 62 - ASEPSIA ULTRA ACRIL URETANO BLANCO - PINTUCO.pdf,ASEPSIA ULTRA ACRIL URETANO BLANCO,10,16,50,27,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-62-asepsia-ultra-acril-uretano-blanco-pintuco.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-62-asepsia-ultra-acril-uretano-blanco-pintuco.json,pintuco__fds-62-asepsia-ultra-acril-uretano-blanco-pintuco
converted,Pintuco,pintuco__fds-7-pintutrafico-acrilico-base-solvente-mod-blanco-13754-1-g-10115022-col-1,FDS 7 - PINTUTRAFICO ACRILICO BASE SOLVENTE MOD. BLANCO 13754 - 1 G _ 10115022 _COL (1).pdf,PINTUTRAFICO ACRILICO BASE SOLVENTE MOD. BLANCO 13754 - 1,11,16,48,34,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-7-pintutrafico-acrilico-base-solvente-mod-blanco-13754-1-g-10115022-col-1.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-7-pintutrafico-acrilico-base-solvente-mod-blanco-13754-1-g-10115022-col-1.json,pintuco__fds-7-pintutrafico-acrilico-base-solvente-mod-blanco-13754-1-g-10115022-col-1
converted,Pintuco,pintuco__fds-79-pq-corrotec-premium-507-gris-pintuco-aksonobel,FDS 79 - PQ CORROTEC PREMIUM 507 GRIS - PINTUCO - AKSONOBEL.pdf,PQ CORROTEC PREMIUM 507 GRIS,17,16,18,18,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-79-pq-corrotec-premium-507-gris-pintuco-aksonobel.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-79-pq-corrotec-premium-507-gris-pintuco-aksonobel.json,pintuco__fds-79-pq-corrotec-premium-507-gris-pintuco-aksonobel
converted,Pintuco,pintuco__fds-8-pintutrafico-alquidico-amarillo-659-10012970-10015685-col-version-2,FDS 8 - PINTUTRAFICO ALQUIDICO AMARILLO 659 _ 10012970-10015685 _COL (Versión 2).pdf,PINTUTRAFICO ALQUIDICO AMARILLO 659,11,16,48,36,,,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/markdown/Pintuco/pintuco__fds-8-pintutrafico-alquidico-amarillo-659-10012970-10015685-col-version-2.md,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/data/processed/metadata/Pintuco/pintuco__fds-8-pintutrafico-alquidico-amarillo-659-10012970-10015685-col-version-2.json,pintuco__fds-8-pintutrafico-alquidico-amarillo-659-10012970-10015685-col-version-2
