manufacturer,file_name,relative_path,file_sha256,text_sha256,page_count,pages_with_text,text_chars,product_guess,sections_found,sections_found_numbers,sections_missing,first_section_page,extraction_error_count,extraction_errors,duplicate_file_group,duplicate_text_group
SIKA,Esmalte Uretano AR Comp. B.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/Esmalte Uretano AR Comp. B.pdf,7408cd19747f4bc3903d9c365feb77e25933fd6a8f3583ee7fbbd41e7604a482,4f2ec3230b70f448849237fd9026d2f1856a07dda5723fc0e3fc2d49edfa673a,8,8,18201,Esmalte Uretano AR Comp. B,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,dup-01,dup-01
SIKA,FDS 20 - Esmalte Alquídico Serie 31.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 20 - Esmalte Alquídico Serie 31.pdf,d025535d8b6e12a6d069db04a4c92710face30802ca9887dd3883a6b49127345,2f76a90d1a9a7173b81f672390a635c351f74d50fdf6515a7435fa48880b2eb4,10,10,22878,Esmalte Alquídico Serie 31,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 22 - Esmalte Uretano AR Comp. B.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 22 - Esmalte Uretano AR Comp. B.pdf,7408cd19747f4bc3903d9c365feb77e25933fd6a8f3583ee7fbbd41e7604a482,4f2ec3230b70f448849237fd9026d2f1856a07dda5723fc0e3fc2d49edfa673a,8,8,18201,Esmalte Uretano AR Comp. B,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,dup-01,dup-01
SIKA,FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 26 - Esmalte Epóxico Aluminio 333441.pdf,cff27b56685db62ff8e9d95d068f711b73df987fda7210f7464f3c13f14c6c4e,76292ecf49247fbbca84f25c45974e184956a4651749aa20722daae51f60c843,9,9,22003,Esmalte Epóxico Aluminio,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 27 - Epoxi_100HS_S300_CA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 27 - Epoxi_100HS_S300_CA.pdf,01e894164b8550f5e2c23aa7eea161dd51becaf11612d10657523d7f2872a7fd,d169c6e59fe3a8b6ca50c8c84beca69211e726e9092bf6351b1344f4b949942b,8,8,16099,Sika® Epoxi 100HS Serie 300 Comp. A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 28- 401 Pintura Texturizada1.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 28- 401 Pintura Texturizada1.pdf,845e50f0db698cc07826c3b9941c8de1674e65ec9a40a86d7d349239f9fb7407,72221875ee995fbee0e6c483f7a35197b107d958f455aceb5b111650775f2716,8,8,15476,SikaWall®-401 Pintura Texturizada,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 36 - Esmalte_Uretano_AR - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 36 - Esmalte_Uretano_AR - SIKA.pdf,221437b6522250746c542f84439c6a326398c36cd349eefc65c1b8ec0dd6fdc4,8ca9bd1037a8f109d17100d993627c957ade2364a718e4f6ee9ac08a9ed7de98,11,11,25096,Esmalte Uretano AR Comp. A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 69 - Esmalte Uretano Part A - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 69 - Esmalte Uretano Part A - SIKA.pdf,f7a997d57781de1971f59358f5dbb382eadbb13ec296cde3975695c078e73e36,f06f98d02b95bda0fb6d72e07bd4a498d504083fd9b49e3bfcc0ebc58cc350c6,13,13,25349,Esmalte Uretano Part A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 70 - Esmalte Uretano Part B - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 70 - Esmalte Uretano Part B - SIKA.pdf,b318cd976284c074ed441bc094fe3f2b28d1af4eacbb3ccfa06c3358070c11e1,ecb6c16a7f8bf174fb03a52fece045ddf25cedbf9ccd0652388935538f80d159,13,13,24358,Esmalte Uretano Part B,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 71 -  Sikafloor®-2430  Part A - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 71 -  Sikafloor®-2430  Part A - SIKA.pdf,abf1ab95c4e7c5d4ae08ab29dedd5497b5a7c6181dd2416659699893b18605f1,8ffaa5beb1ba27dfdac1139d21085dabf45917c1ed960221b55b625d06e8e239,13,13,22780,Sikafloor®-2430 Part A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 72 - Sikafloor®-2430 CO Comp.B - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 72 - Sikafloor®-2430 CO Comp.B - SIKA.pdf,4e163cc3af2323749607b3382c55cf2e65525ee56a01225fa3c106c59f51af63,304fc5fef9619d6441467f15073bf553a5345739cd8b1dde291f7a5d3ec875c7,12,12,22030,Sikafloor®-2430 Part B,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 73 - Sikafloor®-161 Part A Level Comercial - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 73 - Sikafloor®-161 Part A Level Comercial - SIKA.pdf,18e0cd32ff619e56a07c98d79e2eff620abb88bd1d52941c346087d0e0de45e2,5b18a5666410d3821ed3aff8ed60999e839956a99ed84b3e9f12ca286b5639c9,11,11,20506,HOJA DE DATOS DE SEGURIDAD,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 74 - Sikafloor-161-264 (B) - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 74 - Sikafloor-161-264 (B) - SIKA.pdf,ed9366dc839b12b958b930e6aa5f777f1e23ede7e4acb4b5a36e1754b52bbfa8,a581bafa776d439eacce7a4a17ceeba471052c96f3dc80c89433f0d461c232e9,12,12,23806,HOJA DE DATOS DE SEGURIDAD,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 86 - Sikafloor®-510  Part A - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 86 - Sikafloor®-510  Part A - SIKA.pdf,df6de3b78420a38cfe86b80b56eb0a63c675a295f099c757f7b38a0c19c622d4,e11799581547848ef7037579881fbcd0771efbfab14b7eb57df277ca27d5d34b,10,10,17157,Sikafloor®-510 Part A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
SIKA,FDS 87 - Esmalte Epóxico Part A - SIKA.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/SIKA/FDS 87 - Esmalte Epóxico Part A - SIKA.pdf,646cdb5a176495f00d54f90535160a2a4272043c650f04228e3f88bec3ad4a6b,9c2937fdef98b9eae33313fdd36343933b1f2bb29197f4ee2f94e51ce3c4e41b,13,13,23510,Esmalte Epóxico Part A,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
Pintuco,FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/Pintuco/FDS 10 - pintura-epoxi-poliamida-blanco-13243-10012925-10344427-hoja-de-seguridad-pdf.pdf,caeb6b68f1be8b50ced4c4bfd0ab2a8bf9a1dafb51ef15e69d2c347d7a7751db,10ff6092d47b0e56b999544be0c8c476002eec6f214446504ce8fb679f4d5f6d,13,13,42351,PINTURA EPOXI POLIAMIDA BLANCO 13243,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,,
Pintuco,FDS 12 - PINTURA ANTICORROSIVA GRIS 507 _ 10014333-10012454-10171712 _COL (Versión 3) (1).pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/Pintuco/FDS 12 - PINTURA ANTICORROSIVA GRIS 507 _ 10014333-10012454-10171712 _COL (Versión 3) (1).pdf,d1e0ff831eb8b97c3fbc44628cca616fd8d79b67bc764eef59c1bd3c2e201f0e,2489395ffd16215bdfbebb588da551186e52cf8b9c43eb40cc5a6f80a45fad0d,10,10,34399,PINTURA ANTICORROSIVA GRIS 507,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,dup-02,dup-02
Pintuco,FDS 21 - Pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.pdf,/Users/danielwilches/Downloads/PLN_ParcialFinalRAG_GrupoI/Documentos - Parcial final/Pintuco/FDS 21 - Pintura-para-trafico-acrilico-base-solvente-13722-10017277-10015687.pdf,842f520284a0977810411481b185d6e423bc02bbe70afa5b4ff7699214ca3cc3,937d35a119ab289b42868d7e1fafa651b961ebfedc8633a677517db18b8d83f3,12,12,38385,PINTURA PARA TRAFICO ACRILICO BASE SOLVENTE BLANCO 13722,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,1,0,,dup-03,dup-03
